country,inflation_rate_pct,inflation_reference,inflation_source,unemployment_rate_pct,unemployment_reference,unemployment_source,interest_rate_pct,interest_rate_reference,interest_rate_source,note,real_median_wage_usd,real_median_wage_reference,real_median_wage_source
Austria,3.1,Mar/26,https://tradingeconomics.com/country-list/inflation-rate?continent=europe,7.5,Mar/26,https://tradingeconomics.com/country-list/unemployment-rate?continent=europe,2.15,Mar/26,https://tradingeconomics.com/country-list/interest-rate?continent=europe,Interest rate uses euro area policy rate. Real median wage field is proxied with Numbeo current average monthly net salary after tax in USD.,3008,latest available 2026/current proxy,Numbeo average monthly net salary (after tax)
Belarus,5.6,Feb/26,https://tradingeconomics.com/country-list/inflation-rate?continent=europe,3.38,Dec/25,https://tradingeconomics.com/country-list/unemployment-rate?continent=europe,9.75,Mar/26,https://tradingeconomics.com/country-list/interest-rate?continent=europe,Real median wage field is proxied with Numbeo current average monthly net salary after tax in USD.,704,latest available 2026/current proxy,Numbeo average monthly net salary (after tax)
Belgium,1.65,Mar/26,https://tradingeconomics.com/country-list/inflation-rate?continent=europe,6.4,Feb/26,https://tradingeconomics.com/country-list/unemployment-rate?continent=europe,2.15,Mar/26,https://tradingeconomics.com/country-list/interest-rate?continent=europe,Interest rate uses euro area policy rate. Real median wage field is proxied with Numbeo current average monthly net salary after tax in USD.,3027,latest available 2026/current proxy,Numbeo average monthly net salary (after tax)
Bosnia and Herzegovina,3.3,Feb/26,https://tradingeconomics.com/country-list/inflation-rate?continent=europe,11.1,Dec/25,https://tradingeconomics.com/country-list/unemployment-rate?continent=europe,3.82,Feb/26,https://tradingeconomics.com/country-list/interest-rate?continent=europe,Real median wage field is proxied with Numbeo current average monthly net salary after tax in USD.,841,latest available 2026/current proxy,Numbeo average monthly net salary (after tax)
Bulgaria,3.9,Mar/26,https://tradingeconomics.com/country-list/inflation-rate?continent=europe,5.4,Jan/26,https://tradingeconomics.com/country-list/unemployment-rate?continent=europe,1.81,Dec/25,https://tradingeconomics.com/country-list/interest-rate?continent=europe,Real median wage field is proxied with Numbeo current average monthly net salary after tax in USD.,1141,latest available 2026/current proxy,Numbeo average monthly net salary (after tax)
Canada,1.8,Feb/26,https://tradingeconomics.com/country-list/inflation-rate?continent=america,6.7,Feb/26,https://tradingeconomics.com/country-list/unemployment-rate?continent=america,2.25,Mar/26,https://tradingeconomics.com/country-list/interest-rate?continent=america,Real median wage field is proxied with Numbeo current average monthly net salary after tax in USD.,2976,latest available 2026/current proxy,Numbeo average monthly net salary (after tax)
Croatia,4.8,Mar/26,https://tradingeconomics.com/country-list/inflation-rate?continent=europe,4.7,Feb/26,https://tradingeconomics.com/country-list/unemployment-rate?continent=europe,2.15,Mar/26,https://tradingeconomics.com/country-list/interest-rate?continent=europe,Interest rate uses euro area policy rate. Real median wage field is proxied with Numbeo current average monthly net salary after tax in USD.,1567,latest available 2026/current proxy,Numbeo average monthly net salary (after tax)
Cyprus,1.15,Mar/26,https://tradingeconomics.com/country-list/inflation-rate?continent=europe,4.2,Feb/26,https://tradingeconomics.com/country-list/unemployment-rate?continent=europe,2.15,Mar/26,https://tradingeconomics.com/country-list/interest-rate?continent=europe,Interest rate uses euro area policy rate. Real median wage field is proxied with Numbeo current average monthly net salary after tax in USD.,1944,latest available 2026/current proxy,Numbeo average monthly net salary (after tax)
Czech Republic,1.9,Mar/26,https://tradingeconomics.com/country-list/inflation-rate?continent=europe,5.2,Feb/26,https://tradingeconomics.com/country-list/unemployment-rate?continent=europe,3.5,Apr/26,https://tradingeconomics.com/country-list/interest-rate?continent=europe,Real median wage field is proxied with Numbeo current average monthly net salary after tax in USD.,1767,latest available 2026/current proxy,Numbeo average monthly net salary (after tax)
Denmark,0.7,Feb/26,https://tradingeconomics.com/country-list/inflation-rate?continent=europe,2.7,Feb/26,https://tradingeconomics.com/country-list/unemployment-rate?continent=europe,1.6,Mar/26,https://tradingeconomics.com/country-list/interest-rate?continent=europe,Real median wage field is proxied with Numbeo current average monthly net salary after tax in USD.,4251,latest available 2026/current proxy,Numbeo average monthly net salary (after tax)
Estonia,3.6,Mar/26,https://tradingeconomics.com/country-list/inflation-rate?continent=europe,6.4,Dec/25,https://tradingeconomics.com/country-list/unemployment-rate?continent=europe,2.15,Mar/26,https://tradingeconomics.com/country-list/interest-rate?continent=europe,Interest rate uses euro area policy rate. Real median wage field is proxied with Numbeo current average monthly net salary after tax in USD.,1865,latest available 2026/current proxy,Numbeo average monthly net salary (after tax)
Finland,0.6,Feb/26,https://tradingeconomics.com/country-list/inflation-rate?continent=europe,10.9,Feb/26,https://tradingeconomics.com/country-list/unemployment-rate?continent=europe,2.15,Mar/26,https://tradingeconomics.com/country-list/interest-rate?continent=europe,Interest rate uses euro area policy rate. Real median wage field is proxied with Numbeo current average monthly net salary after tax in USD.,3053,latest available 2026/current proxy,Numbeo average monthly net salary (after tax)
France,1.7,Mar/26,https://tradingeconomics.com/country-list/inflation-rate?continent=europe,7.9,Dec/25,https://tradingeconomics.com/country-list/unemployment-rate?continent=europe,2.15,Mar/26,https://tradingeconomics.com/country-list/interest-rate?continent=europe,Interest rate uses euro area policy rate. Real median wage field is proxied with Numbeo current average monthly net salary after tax in USD.,2830,latest available 2026/current proxy,Numbeo average monthly net salary (after tax)
Germany,2.7,Mar/26,https://tradingeconomics.com/country-list/inflation-rate?continent=europe,6.3,Mar/26,https://tradingeconomics.com/country-list/unemployment-rate?continent=europe,2.15,Mar/26,https://tradingeconomics.com/country-list/interest-rate?continent=europe,Interest rate uses euro area policy rate. Real median wage field is proxied with Numbeo current average monthly net salary after tax in USD.,3427,latest available 2026/current proxy,Numbeo average monthly net salary (after tax)
Greece,2.7,Feb/26,https://tradingeconomics.com/country-list/inflation-rate?continent=europe,8.5,Feb/26,https://tradingeconomics.com/country-list/unemployment-rate?continent=europe,2.15,Mar/26,https://tradingeconomics.com/country-list/interest-rate?continent=europe,Interest rate uses euro area policy rate. Real median wage field is proxied with Numbeo current average monthly net salary after tax in USD.,1161,latest available 2026/current proxy,Numbeo average monthly net salary (after tax)
Hungary,1.4,Feb/26,https://tradingeconomics.com/country-list/inflation-rate?continent=europe,4.9,Feb/26,https://tradingeconomics.com/country-list/unemployment-rate?continent=europe,6.25,Mar/26,https://tradingeconomics.com/country-list/interest-rate?continent=europe,Real median wage field is proxied with Numbeo current average monthly net salary after tax in USD.,1255,latest available 2026/current proxy,Numbeo average monthly net salary (after tax)
Iceland,5.4,Mar/26,https://tradingeconomics.com/country-list/inflation-rate?continent=europe,7.1,Feb/26,https://tradingeconomics.com/country-list/unemployment-rate?continent=europe,7.5,Mar/26,https://tradingeconomics.com/country-list/interest-rate?continent=europe,Real median wage field is proxied with Numbeo Reykjavik average monthly net salary after tax converted/displayed in USD.,4398,latest available 2026/current proxy,Numbeo average monthly net salary (after tax)
Ireland,2.7,Feb/26,https://tradingeconomics.com/country-list/inflation-rate?continent=europe,4.7,Mar/26,https://tradingeconomics.com/country-list/unemployment-rate?continent=europe,2.15,Mar/26,https://tradingeconomics.com/country-list/interest-rate?continent=europe,Interest rate uses euro area policy rate. Real median wage field is proxied with Numbeo current average monthly net salary after tax in USD.,3519,latest available 2026/current proxy,Numbeo average monthly net salary (after tax)
Italy,1.7,Mar/26,https://tradingeconomics.com/country-list/inflation-rate?continent=europe,5.3,Feb/26,https://tradingeconomics.com/country-list/unemployment-rate?continent=europe,2.15,Mar/26,https://tradingeconomics.com/country-list/interest-rate?continent=europe,Interest rate uses euro area policy rate. Real median wage field is proxied with Numbeo current average monthly net salary after tax in USD.,1934,latest available 2026/current proxy,Numbeo average monthly net salary (after tax)
Latvia,2.3,Feb/26,https://tradingeconomics.com/country-list/inflation-rate?continent=europe,6.7,Dec/25,https://tradingeconomics.com/country-list/unemployment-rate?continent=europe,2.15,Mar/26,https://tradingeconomics.com/country-list/interest-rate?continent=europe,Interest rate uses euro area policy rate. Real median wage field is proxied with Numbeo current average monthly net salary after tax in USD.,1318,latest available 2026/current proxy,Numbeo average monthly net salary (after tax)
Liechtenstein,0.3,Mar/26,https://tradingeconomics.com/country-list/inflation-rate?continent=europe,1.6,Dec/24,https://tradingeconomics.com/country-list/unemployment-rate?continent=europe,0.0,Mar/26,https://tradingeconomics.com/country-list/interest-rate?continent=europe,Interest rate proxied with Switzerland because Liechtenstein uses the Swiss franc and has no national central bank. Real median wage field is proxied with Numbeo Liechtenstein/Vaduz average monthly net salary after tax converted/displayed in USD.,9338,latest available 2026/current proxy,Numbeo average monthly net salary (after tax)
Lithuania,3.6,Feb/26,https://tradingeconomics.com/country-list/inflation-rate?continent=europe,9.0,Feb/26,https://tradingeconomics.com/country-list/unemployment-rate?continent=europe,2.15,Mar/26,https://tradingeconomics.com/country-list/interest-rate?continent=europe,Interest rate uses euro area policy rate. Real median wage field is proxied with Numbeo current average monthly net salary after tax in USD.,1537,latest available 2026/current proxy,Numbeo average monthly net salary (after tax)
Luxembourg,1.26,Feb/26,https://tradingeconomics.com/country-list/inflation-rate?continent=europe,6.3,Feb/26,https://tradingeconomics.com/country-list/unemployment-rate?continent=europe,2.15,Mar/26,https://tradingeconomics.com/country-list/interest-rate?continent=europe,Interest rate uses euro area policy rate. Real median wage field is proxied with Numbeo current average monthly net salary after tax in USD.,5431,latest available 2026/current proxy,Numbeo average monthly net salary (after tax)
Malta,2.3,Feb/26,https://tradingeconomics.com/country-list/inflation-rate?continent=europe,3.4,Dec/25,https://tradingeconomics.com/country-list/unemployment-rate?continent=europe,2.15,Mar/26,https://tradingeconomics.com/country-list/interest-rate?continent=europe,Interest rate uses euro area policy rate. Real median wage field is proxied with Numbeo current average monthly net salary after tax in USD.,1833,latest available 2026/current proxy,Numbeo average monthly net salary (after tax)
Moldova,5.1,Feb/26,https://tradingeconomics.com/country-list/inflation-rate?continent=europe,2.9,Dec/25,https://tradingeconomics.com/country-list/unemployment-rate?continent=europe,5.0,Mar/26,https://tradingeconomics.com/country-list/interest-rate?continent=europe,Real median wage field is proxied with Numbeo current average monthly net salary after tax in USD.,742,latest available 2026/current proxy,Numbeo average monthly net salary (after tax)
Monaco,1.7,Mar/26,https://tradingeconomics.com/country-list/inflation-rate?continent=europe,7.9,Dec/25,https://tradingeconomics.com/country-list/unemployment-rate?continent=europe,2.15,Mar/26,https://tradingeconomics.com/country-list/interest-rate?continent=europe,Monaco inflation and unemployment proxied with France latest values because Monaco does not have a directly comparable current series accessible here; interest rate uses euro area policy rate. Real median wage field is proxied with Numbeo Monaco average monthly net salary after tax converted/displayed in USD.,9524,latest available 2026/current proxy,Numbeo average monthly net salary (after tax)
Montenegro,2.6,Feb/26,https://tradingeconomics.com/country-list/inflation-rate?continent=europe,8.99,Jan/26,https://tradingeconomics.com/country-list/unemployment-rate?continent=europe,2.15,Feb/26,https://www.ceicdata.com/en/indicator/montenegro/policy-rate,Interest rate uses CEIC-reported Montenegro policy/ECB-linked rate for latest available month. Real median wage field is proxied with Numbeo current average monthly net salary after tax in USD.,1027,latest available 2026/current proxy,Numbeo average monthly net salary (after tax)
Netherlands,2.7,Mar/26,https://tradingeconomics.com/country-list/inflation-rate?continent=europe,4.1,Feb/26,https://tradingeconomics.com/country-list/unemployment-rate?continent=europe,2.15,Mar/26,https://tradingeconomics.com/country-list/interest-rate?continent=europe,Interest rate uses euro area policy rate. Real median wage field is proxied with Numbeo current average monthly net salary after tax in USD.,3914,latest available 2026/current proxy,Numbeo average monthly net salary (after tax)
Norway,2.7,Feb/26,https://tradingeconomics.com/country-list/inflation-rate?continent=europe,4.9,Feb/26,https://tradingeconomics.com/country-list/unemployment-rate?continent=europe,4.0,Mar/26,https://tradingeconomics.com/country-list/interest-rate?continent=europe,Real median wage field is proxied with Numbeo current average monthly net salary after tax in USD.,3974,latest available 2026/current proxy,Numbeo average monthly net salary (after tax)
Poland,3.0,Mar/26,https://tradingeconomics.com/country-list/inflation-rate?continent=europe,6.1,Feb/26,https://tradingeconomics.com/country-list/unemployment-rate?continent=europe,3.75,Mar/26,https://tradingeconomics.com/country-list/interest-rate?continent=europe,Real median wage field is proxied with Numbeo current average monthly net salary after tax in USD.,1667,latest available 2026/current proxy,Numbeo average monthly net salary (after tax)
Portugal,2.7,Mar/26,https://tradingeconomics.com/country-list/inflation-rate?continent=europe,5.8,Feb/26,https://tradingeconomics.com/country-list/unemployment-rate?continent=europe,2.15,Mar/26,https://tradingeconomics.com/country-list/interest-rate?continent=europe,Interest rate uses euro area policy rate. Real median wage field is proxied with Numbeo current average monthly net salary after tax in USD.,1318,latest available 2026/current proxy,Numbeo average monthly net salary (after tax)
Romania,9.3,Feb/26,https://tradingeconomics.com/country-list/inflation-rate?continent=europe,6.0,Feb/26,https://tradingeconomics.com/country-list/unemployment-rate?continent=europe,6.5,Apr/26,https://tradingeconomics.com/country-list/interest-rate?continent=europe,Real median wage field is proxied with Numbeo current average monthly net salary after tax in USD.,1084,latest available 2026/current proxy,Numbeo average monthly net salary (after tax)
Russia,5.9,Feb/26,https://tradingeconomics.com/country-list/inflation-rate?continent=europe,2.1,Feb/26,https://tradingeconomics.com/country-list/unemployment-rate?continent=europe,15.0,Mar/26,https://tradingeconomics.com/country-list/interest-rate?continent=europe,Real median wage field is proxied with Numbeo current average monthly net salary after tax in USD.,807,latest available 2026/current proxy,Numbeo average monthly net salary (after tax)
Serbia,2.5,Feb/26,https://tradingeconomics.com/country-list/inflation-rate?continent=europe,8.9,Dec/25,https://tradingeconomics.com/country-list/unemployment-rate?continent=europe,5.75,Mar/26,https://tradingeconomics.com/country-list/interest-rate?continent=europe,Real median wage field is proxied with Numbeo current average monthly net salary after tax in USD.,937,latest available 2026/current proxy,Numbeo average monthly net salary (after tax)
Slovakia,3.7,Feb/26,https://tradingeconomics.com/country-list/inflation-rate?continent=europe,5.4,Feb/26,https://tradingeconomics.com/country-list/unemployment-rate?continent=europe,2.15,Mar/26,https://tradingeconomics.com/country-list/interest-rate?continent=europe,Interest rate uses euro area policy rate. Real median wage field is proxied with Numbeo current average monthly net salary after tax in USD.,1336,latest available 2026/current proxy,Numbeo average monthly net salary (after tax)
Slovenia,2.5,Mar/26,https://tradingeconomics.com/country-list/inflation-rate?continent=europe,5.0,Jan/26,https://tradingeconomics.com/country-list/unemployment-rate?continent=europe,2.15,Mar/26,https://tradingeconomics.com/country-list/interest-rate?continent=europe,Interest rate uses euro area policy rate. Real median wage field is proxied with Numbeo current average monthly net salary after tax in USD.,1727,latest available 2026/current proxy,Numbeo average monthly net salary (after tax)
Spain,3.3,Mar/26,https://tradingeconomics.com/country-list/inflation-rate?continent=europe,9.93,Dec/25,https://tradingeconomics.com/country-list/unemployment-rate?continent=europe,2.15,Mar/26,https://tradingeconomics.com/country-list/interest-rate?continent=europe,Interest rate uses euro area policy rate. Real median wage field is proxied with Numbeo current average monthly net salary after tax in USD.,2033,latest available 2026/current proxy,Numbeo average monthly net salary (after tax)
Sweden,0.6,Mar/26,https://tradingeconomics.com/country-list/inflation-rate?continent=europe,8.8,Feb/26,https://tradingeconomics.com/country-list/unemployment-rate?continent=europe,1.75,Apr/26,https://tradingeconomics.com/country-list/interest-rate?continent=europe,Real median wage field is proxied with Numbeo current average monthly net salary after tax in USD.,3210,latest available 2026/current proxy,Numbeo average monthly net salary (after tax)
Switzerland,0.3,Mar/26,https://tradingeconomics.com/country-list/inflation-rate?continent=europe,3.2,Feb/26,https://tradingeconomics.com/country-list/unemployment-rate?continent=europe,0.0,Mar/26,https://tradingeconomics.com/country-list/interest-rate?continent=europe,Real median wage field is proxied with Numbeo current average monthly net salary after tax in USD.,7428,latest available 2026/current proxy,Numbeo average monthly net salary (after tax)
Ukraine,7.6,Feb/26,https://tradingeconomics.com/country-list/inflation-rate?continent=europe,10.5,Q4 2021,https://tradingeconomics.com/ukraine/unemployment-rate,15.0,Mar/26,https://tradingeconomics.com/country-list/interest-rate?continent=europe,Latest unemployment rate series accessible here is Q4 2021; newer labour data available separately in unemployed-persons counts. Real median wage field is proxied with Numbeo current average monthly net salary after tax in USD.,487,latest available 2026/current proxy,Numbeo average monthly net salary (after tax)
United Kingdom,3.0,Feb/26,https://tradingeconomics.com/country-list/inflation-rate?continent=europe,5.2,Jan/26,https://tradingeconomics.com/country-list/unemployment-rate?continent=europe,3.75,Mar/26,https://tradingeconomics.com/country-list/interest-rate?continent=europe,Real median wage field is proxied with Numbeo current average monthly net salary after tax in USD.,3248,latest available 2026/current proxy,Numbeo average monthly net salary (after tax)
United States,2.4,Feb/26,https://tradingeconomics.com/country-list/inflation-rate?continent=america,4.3,Mar/26,https://tradingeconomics.com/united-states/unemployment-rate,3.75,Mar/26,https://tradingeconomics.com/country-list/interest-rate?continent=america,Real median wage field is proxied with Numbeo current average monthly net salary after tax in USD.,4318,latest available 2026/current proxy,Numbeo average monthly net salary (after tax)
Australia,3.7,Feb/26,https://tradingeconomics.com/country-list/inflation-rate?continent=australia,4.3,Feb/26,https://tradingeconomics.com/country-list/unemployment-rate?continent=australia,4.1,Apr/26,https://tradingeconomics.com/country-list/interest-rate?continent=australia,Real median wage field is proxied with Numbeo current average monthly net salary after tax in USD.,3852,latest available 2026/current proxy,Numbeo average monthly net salary (after tax)
New Zealand,3.1,Dec/25,https://tradingeconomics.com/country-list/inflation-rate?continent=australia,5.4,Dec/25,https://tradingeconomics.com/country-list/unemployment-rate?continent=australia,2.25,Apr/26,https://tradingeconomics.com/country-list/interest-rate?continent=australia,Real median wage field is proxied with Numbeo current average monthly net salary after tax in USD.,2853,latest available 2026/current proxy,Numbeo average monthly net salary (after tax)
